date,product,region,quantity_sold,unit_price,discount,revenue
2023-05-11,Smartwatch,West,12,1963.4211150381511,0.2666239550441439,17279.112143153958
2023-11-11,Laptop,South,19,1868.3534010001135,0.018502375086287236,34841.90408604031
2021-05-02,Tablet,South,18,1871.038588550185,0.13501925112472746,29131.422470976097
2022-04-12,Smartwatch,North,17,834.3362829518692,0.06141583618499967,13312.611982073227
2021-11-27,Smartwatch,East,6,964.1402669882423,0.169955449676349,4801.676246167082
2021-03-29,Tablet,West,15,1425.989022919514,0.19486288758109815,17221.75026381703
2023-05-22,Smartwatch,South,3,1848.2742597000042,0.0907869548786265,5041.425203643879
2021-05-11,Laptop,West,6,326.8888057365651,0.13799450090343024,1690.6796888281765
2023-02-09,Laptop,North,3,643.2716344630318,0.08380184558296784,1768.0928528515724
2021-12-10,Tablet,South,1,321.53134695851355,0.11081734933653413,285.90009535996563
2023-03-17,Headphones,North,13,1243.4166334209378,0.04786198700652707,15390.755154689788
2022-01-21,Smartphone,West,14,647.2869439306982,0.2656678330756894,6654.530738218221
2023-08-14,Headphones,North,13,685.9103123995183,0.0030031231677409287,8890.055710241666
2021-10-04,Smartwatch,West,4,188.2861210015595,0.26472275593313654,553.7700005842667
2022-04-05,Smartphone,North,7,732.1023205248042,0.17150366350492155,4245.808633460422
2021-01-22,Tablet,West,10,1731.8681894330914,0.09949735325310524,15595.518884012514
2021-09-10,Tablet,East,7,504.49198318712814,0.21691713763809892,2765.4131836296588
2023-01-18,Smartphone,North,15,1405.615559109628,0.1523256455587993,17872.563924911417
2023-05-07,Laptop,North,15,1277.7752726302556,0.14973259743228196,16296.759931868777
2022-04-20,Smartphone,East,4,1733.7949863197748,0.03304268487568993,6706.022979791037
2023-12-19,Smartwatch,East,6,307.96149791952456,0.1168548077836226,1631.848297652292
2022-05-26,Laptop,North,5,1956.3004226728342,0.07231930375702099,9074.110690827845
2022-12-01,Tablet,East,12,1186.1258597787128,0.004708771678883894,14166.48796707114
2023-09-03,Smartphone,South,1,1991.174597076288,0.10802988923463398,1776.0682259073196
2021-07-09,Headphones,West,8,1827.453715438409,0.026946638827681422,14225.679841553485
2023-08-16,Headphones,West,1,481.95868062055627,0.07704901131755555,444.82424078282884
2022-11-18,Smartwatch,West,5,159.51591931146055,0.027754986354928336,775.4427857378855
2023-08-16,Headphones,South,6,548.496232900955,0.030282487666919655,3191.3184149566796
2022-07-17,Smartphone,East,3,1078.7491155488688,0.05970338832455648,3043.0324145954482
2023-04-12,Smartphone,East,15,384.61291577712046,0.2999547733459201,4038.696536989213
2022-10-09,Headphones,North,5,376.5465018100776,0.0006552428571746316,1881.4988620218621
2021-01-21,Smartphone,East,14,952.0574168550486,0.19160179083612158,10774.981151295331
2023-04-21,Smartwatch,North,18,114.87254378024893,0.0423731094079672,1980.090664464185
2021-06-16,Laptop,South,16,287.6817609379274,0.27618844101323275,3331.6381420246353
2022-01-23,Smartwatch,West,6,860.9296118454978,0.02808986800008877,5020.477276148341
2022-08-24,Smartwatch,West,14,173.1033229555346,0.28651895613787093,1729.083153816453
2021-11-12,Smartphone,West,8,823.6723600882822,0.1832779162450434,5381.6912501013185
2021-01-14,Laptop,East,7,974.3122185994679,0.0003804230746470738,6817.590974247215
2021-08-30,Smartphone,North,8,929.9698974425731,0.2682021593750418,5444.39970235751
2023-02-16,Tablet,North,13,1744.8909719360202,0.15651354041007548,19133.29480775357
2022-07-19,Smartphone,South,6,1083.6217873508783,0.07880092059914535,5989.388357558027
2023-06-17,Smartphone,East,18,962.5619018321846,0.23018375325468904,13337.924229512653
2021-04-02,Smartphone,South,2,850.8830285137491,0.277999666166061,1228.6756612811198
2023-08-14,Laptop,North,8,1644.365587693748,0.14510724694403818,11246.049794351942
2022-05-24,Smartphone,North,11,1795.3603777996746,0.09466604233293326,17879.407878992213
2023-02-15,Laptop,West,1,1713.8228149343793,0.23668353718047802,1308.1891689951065
2021-02-04,Headphones,East,6,1363.415827356212,0.2045356493365364,6507.292114753189
2021-07-25,Tablet,North,16,317.85540463891476,0.2666257451250817,3729.711528560476
2023-10-23,Laptop,West,12,589.8964405094239,0.20775420382835788,5608.115702042475
2023-10-19,Headphones,East,11,139.82297417985598,0.07305850166986089,1425.6848890597728
2022-07-20,Laptop,South,10,1865.1069462307225,0.2794977749277057,13438.137047570277
2022-12-04,Laptop,East,3,1338.557132897275,0.031450724161797394,3889.3756252071494
2022-02-06,Tablet,East,13,1505.407624410821,0.08038282503205436,17997.18318756651
2022-12-31,Smartwatch,North,3,657.5648921853465,0.15605838231716568,1664.8391365270195
2021-06-11,Smartwatch,North,15,1699.0243684408176,0.1697226078212704,21159.92282815733
2021-07-21,Laptop,East,16,556.2264032315331,0.004593175988071629,8858.744919556459
2023-09-23,Smartphone,North,13,53.20532636927688,0.23417181774628198,529.6997989347886
2021-09-27,Headphones,North,17,784.0091769153532,0.10848219552761686,11882.28838152619
2023-03-27,Smartphone,North,3,1162.9848878701932,0.12192556230064133,3063.5619044084146
2022-04-01,Smartphone,West,11,983.474473032769,0.2428108633310837,8191.438058887597
2023-10-14,Laptop,West,19,1731.0484780243642,0.11378501751826336,29147.54083592058
2021-10-23,Laptop,East,11,255.54030761452552,0.014167462948426445,2771.1194475202396
2022-12-21,Laptop,North,16,1129.955709235765,0.052931931141105094,17122.319543071982
2021-12-04,Laptop,West,3,1050.3097321507694,0.28677095171645467,2247.334231994516
2023-05-29,Smartwatch,East,6,598.7163152357178,0.021121608720754248,3516.4227809434633
2023-12-13,Laptop,North,14,1653.3448195251706,0.10647936029040486,20682.168091237458
2023-03-03,Smartwatch,South,18,1518.0548789703023,0.15095375011540338,23200.178437957507
2021-08-05,Smartwatch,North,17,1479.0754152970703,0.147984248201568,21423.324382825493
2023-02-03,Laptop,North,4,1758.5753326256342,0.0011879829036428257,7025.944700782828
2021-07-07,Tablet,West,15,1459.4299712119662,0.1503488194372471,18600.095969833674
2022-01-15,Headphones,East,11,502.09051884371655,0.11513173739322276,4887.123615886323
2022-05-08,Smartphone,East,3,1425.8472877168977,0.29162380064236715,3030.1088476118553
2023-12-01,Smartwatch,West,3,650.0204861101955,0.047747725198148946,1856.950459698716
2021-01-15,Headphones,North,16,522.2405681775676,0.1062462590278485,7468.071383937969
2021-03-06,Tablet,South,5,192.35700615427328,0.12584444552694593,840.7497268578271
2022-06-05,Smartphone,North,10,1500.8557316779695,0.11720806113028463,13249.433413317201
2022-10-10,Smartphone,North,19,1436.4518758021318,0.19974924829555876,21840.912174560304
2023-12-23,Smartwatch,South,4,507.2739814644828,0.06465385726433065,1897.9070474918776
2022-08-16,Laptop,West,19,1511.289082612104,0.06632146584419754,26810.105331439798
2022-01-27,Tablet,East,11,1839.7897220324285,0.21876328455025593,15810.424075146932
2022-02-23,Smartwatch,West,2,260.6564671085796,0.1500871556034539,443.0705587412153
2021-10-16,Tablet,West,10,503.64144485421116,0.12454670281719311,4409.145634955319
2022-01-14,Laptop,North,11,1513.0085484702652,0.05076091550317554,15798.275343243622
2021-08-19,Laptop,East,16,585.2880133388026,0.056258166873649984,8837.772521843859
2023-10-15,Smartwatch,East,19,1268.0947498532478,0.003165491044770163,24017.53153829468
2021-02-10,Laptop,West,11,208.2702377042433,0.02742788065851277,2228.1360912774835
2023-11-18,Headphones,South,14,931.7948342519005,0.1670516084070723,10865.918118786069
2021-05-15,Smartphone,West,2,1491.2282728862585,0.26756193900252295,2184.464689394855
2021-07-20,Smartwatch,South,5,1388.7021889343425,0.08614942953916722,6345.33143778928
2023-02-19,Tablet,East,5,1639.3905963178233,0.09832416776883844,7390.994401434067
2023-07-19,Headphones,West,19,1761.0316468761791,0.03468168318345366,32299.165999240497
2023-11-23,Smartwatch,North,12,1557.7078274545786,0.11658928368213083,16513.149451987214
2023-12-08,Laptop,West,18,1359.5960987309056,0.011166511370798748,24199.454761825204
2022-05-18,Laptop,East,4,111.85885904126074,0.2752802088785701,324.26531583785584
2022-02-11,Laptop,North,17,1093.185013148416,0.2019334044373586,14831.385509978782
2023-03-16,Laptop,North,10,123.51056358396295,0.2972246428179656,868.0018043847392
2021-04-09,Tablet,South,6,1625.732243376244,0.2648469488035481,7170.972114878991
2022-11-15,Headphones,North,14,675.4128226969173,0.1418971781094458,8114.03108736205
2022-12-27,Smartphone,North,11,1146.737279529946,0.15590550934511307,10647.500818677805
2023-08-19,Tablet,West,11,594.91834927186,0.05717281395515815,6169.957124874732
2022-09-05,Tablet,East,18,1575.8752815415726,0.13861180285186667,24433.92661855324
2022-10-05,Smartphone,South,18,1778.67992695171,0.27090836204784347,23342.7719040092
2023-10-26,Smartphone,West,11,827.3528637154748,0.015256027090746338,8962.038206143274
2022-05-18,Laptop,North,12,1732.6986673464285,0.2590670408994929,15405.762609917932
2023-02-06,Tablet,North,5,570.7962645398482,0.10228434049278291,2562.063725328229
2022-02-02,Smartwatch,South,9,1092.5887999972715,0.2698538295288929,7179.74575395867
2023-05-21,Smartphone,East,9,1724.5847881854727,0.2822639719024454,11140.169723907335
2023-03-06,Smartphone,South,10,685.4686181007912,0.20125946610057177,5475.1156999312925
2022-01-28,Headphones,West,19,1910.3824169022673,0.19932713597780335,29062.235861256904
2021-07-26,Smartwatch,South,1,287.66502847369804,0.13582630131262202,248.59255163912556
2023-11-05,Smartwatch,North,7,85.63638596083715,0.25066206736311225,449.1941469007181
2023-06-11,Smartphone,West,4,1813.0639375274718,0.28848382752998497,5160.097253091844
2023-05-14,Laptop,North,1,183.86489898835086,0.23252454010173576,141.11179791023247
2023-01-13,Headphones,East,15,1984.1839320976087,0.18658102012701275,24209.593048908144
2022-07-18,Smartwatch,North,8,1905.223880859257,0.18203786874640102,12467.207888823126
2023-10-18,Smartphone,North,12,317.1907745708253,0.2548409704750987,2836.290837041375
2021-04-06,Smartwatch,South,18,1098.2900201005034,0.1623611297313895,16559.467409956953
2022-04-30,Headphones,North,15,410.59458006093143,0.24115796587464677,4673.646395014236
2021-08-19,Headphones,West,17,884.9025874087337,0.15266557655227372,12746.743203059468
2023-01-19,Tablet,West,14,169.77900205667373,0.018733282492177237,2332.3787766986857
2022-06-25,Smartphone,East,14,486.6529462033496,0.11518410267124657,6028.375685956376
2023-11-26,Headphones,West,18,758.3819529778541,0.1333322873014496,11830.772745705175
2022-06-09,Tablet,South,18,905.3626254798069,0.042485173495985164,15604.1664706713
2022-08-01,Tablet,East,16,1956.1177035073417,0.030748898756763843,30335.507812574095
2022-11-13,Smartwatch,West,1,1625.3380090837634,0.16063948489708624,1364.244548520892
2022-07-11,Smartwatch,South,11,1487.949391408295,0.025543090966824642,15949.368212244737
